rowIndex,barcode,excelOrder,coneId,issueStatus,latestIssueOrder,latestIssueArticleId,issueTxnId,action,reason,needsConeClose,needsReturnTxn,returnTxnId
98,699ea632c926fc0fe8588120,ORD-000084,699ea632c926fc0fe858812a,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
99,699ea677c926fc0fe85884d8,ORD-000084,699ea677c926fc0fe85884e4,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
100,69a13c657317942502216d25,ORD-000076,69a13c657317942502216d30,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
101,69a19697a47ecd5436f6e67f,ORD-000029,69a19697a47ecd5436f6e687,issued,ORD-000029,69de2b3d007e05d7e741f3ed,69de373f00ca64e3cf50dcd5,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
102,69a26de6a47ecd5436f7064f,ORD-000021,69a26de6a47ecd5436f70664,issued,ORD-000021,69d0e47e97fe9152fa9fb768,69d7c5b3edc59d9ec1031d9a,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
103,69a26de6a47ecd5436f70659,ORD-000087,69a26de6a47ecd5436f7066e,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
104,69a26ea1a47ecd5436f7073e,ORD-000085,69a26ea1a47ecd5436f70743,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
105,69a26ea1a47ecd5436f7073f,ORD-000013,69a26ea1a47ecd5436f70744,issued,ORD-000013,69ca497e0ab7021c82e521f1,69df2d7500ca64e3cf529540,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
106,69a26f4da47ecd5436f708d5,ORD-000087,69a26f4da47ecd5436f708d9,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
107,69a2720fa47ecd5436f70a0b,ORD-000027,69a2720fa47ecd5436f70a0e,issued,ORD-000027,69dc9fd1a19ee8d30f4a3a7f,69df614400ca64e3cf53094d,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
108,69a2726aa47ecd5436f70a4c,ORD-000025,69a2726aa47ecd5436f70a4e,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
109,69a272a2a47ecd5436f70a7a,ORD-000087,69a272a2a47ecd5436f70a97,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
110,69a2730da47ecd5436f70b8d,ORD-000028,69a2730da47ecd5436f70bab,issued,ORD-000028,69ddee12007e05d7e740be15,69e59f854dfe50532a141079,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
111,69a27362a47ecd5436f70c84,ORD-000083,69a27362a47ecd5436f70c9c,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
112,69a27362a47ecd5436f70c92,ORD-000083,69a27362a47ecd5436f70caa,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
113,69a27362a47ecd5436f70c94,ORD-000083,69a27362a47ecd5436f70cac,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
114,69a27362a47ecd5436f70c9a,ORD-000083,69a27362a47ecd5436f70cb2,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
115,69a2bd2f93145c5b2854cd80,ORD-000077,69a2bd2f93145c5b2854cd84,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
116,69a2d25193145c5b2854e4b0,ORD-000068,69a2d25193145c5b2854e4b4,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
117,69a3e8bd93145c5b285505f1,ORD-000087,69a3e8bd93145c5b285505f5,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
118,69a3e8bd93145c5b285505f3,ORD-000087,69a3e8bd93145c5b285505f7,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
119,69a3f9ad93145c5b28550e7e,ORD-000089,69a3f9ad93145c5b28550e81,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
120,69a3f9ad93145c5b28550e7f,ORD-000089,69a3f9ad93145c5b28550e82,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
121,69a3fdfe93145c5b285514bc,ORD-000082,69a3fdfe93145c5b285514bd,issued,ORD-000017,69ce234fff9f99209b6d0ef8,69d9e0cfedc59d9ec109bc91,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
122,69a3ff6293145c5b28551644,ORD-000029,69a3ff6293145c5b28551649,issued,ORD-000029,69df238300ca64e3cf525581,69e84198795e8688eebb8a9e,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
123,69a4021b93145c5b2855186f,ORD-000025,69a4021b93145c5b28551876,issued,ORD-000025,69d88ec5edc59d9ec104b7c5,69df715c00ca64e3cf53663f,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
124,69a4021b93145c5b28551871,ORD-000075,69a4021b93145c5b28551878,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
